"","easting","northing","plot_area","metric","value"
"1",403499.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.243353689911
"2",403539.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",10.609566837019
"3",403579.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",9.18064938789712
"4",403619.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.3991312927162
"5",403659.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",9.3548933373571
"6",403699.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.0592158690315
"7",403739.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",9.03820274121467
"8",403779.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",8.8613267399645
"9",403819.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",9.33377566612656
"10",403859.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",8.58125651220847
"11",403899.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.0507485160839
"12",403939.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",14.2333426046167
"13",403979.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",14.9811529691364
"14",404019.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.082282414443
"15",404059.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.3095847710325
"16",404099.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.9519371970991
"17",404139.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.7261218730779
"18",404179.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.6692730352212
"19",404219.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",16.9733859812152
"20",404259.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.9363420183269
"21",404299.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",11.4326951437093
"22",404339.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",12.0951391332983
"23",404379.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",13.7740416413058
"24",404419.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",15.0646005888222
"25",404459.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",15.0553970284949
"26",404499.9995,3284499.9995,"40m","mean.max.canopy.ht.aop",13.8747184513828
"27",403499.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",11.975018927448
"28",403539.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",11.3934251122646
"29",403579.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",9.51298500487232
"30",403619.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",9.96615739796687
"31",403659.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",11.7226171049737
"32",403699.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",10.1622505890733
"33",403739.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",9.5024597847248
"34",403779.9995,3284539.9995,"40m","mean.max.canopy.ht.aop",8.86315586076374
