"","easting","northing","plot_area","metric","value"
"1",303749.9995,5122749.9995,"40m","mean.max.canopy.ht.aop",80.329542990547
"2",304249.9995,5122749.9995,"40m","mean.max.canopy.ht.aop",63.3068217134163
"3",303749.9995,5123249.9995,"40m","mean.max.canopy.ht.aop",71.618782475317
"4",303749.9995,5122749.9995,"40m","max.canopy.ht.aop",896.745533773409
"5",304249.9995,5122749.9995,"40m","max.canopy.ht.aop",781.923276296132
"6",303749.9995,5123249.9995,"40m","max.canopy.ht.aop",868.918228211944
"7",303749.9995,5122749.9995,"40m","rumple.aop",68.9538973997953
"8",304249.9995,5122749.9995,"40m","rumple.aop",63.1088138186486
"9",303749.9995,5123249.9995,"40m","rumple.aop",72.5557715601075
"10",303749.9995,5122749.9995,"40m","deepgaps.aop",4
"11",304249.9995,5122749.9995,"40m","deepgaps.aop",3
"12",303749.9995,5123249.9995,"40m","deepgaps.aop",8
"13",303749.9995,5122749.9995,"40m","deepgap.fraction.aop",1.6e-05
"14",304249.9995,5122749.9995,"40m","deepgap.fraction.aop",1.2e-05
"15",303749.9995,5123249.9995,"40m","deepgap.fraction.aop",3.2e-05
"16",303749.9995,5122749.9995,"40m","cover.fraction.aop",0.999984
"17",304249.9995,5122749.9995,"40m","cover.fraction.aop",0.999988
"18",303749.9995,5123249.9995,"40m","cover.fraction.aop",0.999968
"19",303749.9995,5122749.9995,"40m","top.rugosity.aop",91.1988706330633
"20",304249.9995,5122749.9995,"40m","top.rugosity.aop",69.579541385879
"21",303749.9995,5123249.9995,"40m","top.rugosity.aop",80.1075710946138
"22",303749.9995,5122749.9995,"40m","vert.sd.aop",59.0857561075158
"23",304249.9995,5122749.9995,"40m","vert.sd.aop",49.3630607780869
"24",303749.9995,5123249.9995,"40m","vert.sd.aop",61.7804807032715
"25",303749.9995,5122749.9995,"40m","sd.sd.aop",55.8483628941013
"26",304249.9995,5122749.9995,"40m","sd.sd.aop",48.0434045596813
"27",303749.9995,5123249.9995,"40m","sd.sd.aop",49.7524497091255
"28",303749.9995,5122749.9995,"40m","entropy.aop",0.495150832924697
"29",304249.9995,5122749.9995,"40m","entropy.aop",0.501470927914646
"30",303749.9995,5123249.9995,"40m","entropy.aop",0.494968894348891
"31",303749.9995,5122749.9995,"40m","GFP.AOP.aop",0.997702554500159
"32",304249.9995,5122749.9995,"40m","GFP.AOP.aop",0.997424945765154
"33",303749.9995,5123249.9995,"40m","GFP.AOP.aop",0.997445451594309
"34",303749.9995,5122749.9995,"40m","VAI.AOP.aop",4.65080501523821
"35",304249.9995,5122749.9995,"40m","VAI.AOP.aop",5.0384047568027
"36",303749.9995,5123249.9995,"40m","VAI.AOP.aop",5.21155791786521
"37",303749.9995,5122749.9995,"40m","VCI.AOP.aop",0.688993063773538
"38",304249.9995,5122749.9995,"40m","VCI.AOP.aop",0.703374653932658
"39",303749.9995,5123249.9995,"40m","VCI.AOP.aop",0.686880818515415
