,easting,northing,plot_area,metric,value
87,403819.9995,3284620,40 m,mean.max.canopy.ht.aop,10.21916726
88,403859.9995,3284620,40 m,mean.max.canopy.ht.aop,9.470299792
89,403899.9995,3284620,40 m,mean.max.canopy.ht.aop,11.25328713
90,403939.9995,3284620,40 m,mean.max.canopy.ht.aop,9.711394775
91,403979.9995,3284620,40 m,mean.max.canopy.ht.aop,11.41458742
92,404019.9995,3284620,40 m,mean.max.canopy.ht.aop,11.50223384
93,404059.9995,3284620,40 m,mean.max.canopy.ht.aop,13.80872221
94,404099.9995,3284620,40 m,mean.max.canopy.ht.aop,11.51432581
95,404139.9995,3284620,40 m,mean.max.canopy.ht.aop,12.41582264
96,404179.9995,3284620,40 m,mean.max.canopy.ht.aop,12.49232203
97,404219.9995,3284620,40 m,mean.max.canopy.ht.aop,13.41563575
98,404259.9995,3284620,40 m,mean.max.canopy.ht.aop,14.41655511
99,404299.9995,3284620,40 m,mean.max.canopy.ht.aop,11.28024529
100,404339.9995,3284620,40 m,mean.max.canopy.ht.aop,12.80019037
101,404379.9995,3284620,40 m,mean.max.canopy.ht.aop,12.52088685
102,404419.9995,3284620,40 m,mean.max.canopy.ht.aop,11.24217402
103,404459.9995,3284620,40 m,mean.max.canopy.ht.aop,13.32411002
104,404499.9995,3284620,40 m,mean.max.canopy.ht.aop,13.04085613
105,403499.9995,3284660,40 m,mean.max.canopy.ht.aop,15.61732462
106,403539.9995,3284660,40 m,mean.max.canopy.ht.aop,11.80995443
107,403579.9995,3284660,40 m,mean.max.canopy.ht.aop,10.36289227
108,403619.9995,3284660,40 m,mean.max.canopy.ht.aop,8.911832604
109,403659.9995,3284660,40 m,mean.max.canopy.ht.aop,8.797715744
110,403699.9995,3284660,40 m,mean.max.canopy.ht.aop,9.324686602
111,403739.9995,3284660,40 m,mean.max.canopy.ht.aop,9.760584454
112,403779.9995,3284660,40 m,mean.max.canopy.ht.aop,10.21603834
113,403819.9995,3284660,40 m,mean.max.canopy.ht.aop,9.692136694
114,403859.9995,3284660,40 m,mean.max.canopy.ht.aop,11.1685595
115,403899.9995,3284660,40 m,mean.max.canopy.ht.aop,10.08579516
116,403939.9995,3284660,40 m,mean.max.canopy.ht.aop,9.262337067
117,403979.9995,3284660,40 m,mean.max.canopy.ht.aop,11.10790736
118,404019.9995,3284660,40 m,mean.max.canopy.ht.aop,12.32491267
119,404059.9995,3284660,40 m,mean.max.canopy.ht.aop,10.71537015
120,404099.9995,3284660,40 m,mean.max.canopy.ht.aop,12.10808887
121,404139.9995,3284660,40 m,mean.max.canopy.ht.aop,13.23741594
122,404179.9995,3284660,40 m,mean.max.canopy.ht.aop,12.0581054
123,404219.9995,3284660,40 m,mean.max.canopy.ht.aop,12.56502586
124,404259.9995,3284660,40 m,mean.max.canopy.ht.aop,14.09413973
125,404299.9995,3284660,40 m,mean.max.canopy.ht.aop,13.41789206
126,404339.9995,3284660,40 m,mean.max.canopy.ht.aop,17.9927676
127,404379.9995,3284660,40 m,mean.max.canopy.ht.aop,12.41086538
128,404419.9995,3284660,40 m,mean.max.canopy.ht.aop,15.85381201
129,404459.9995,3284660,40 m,mean.max.canopy.ht.aop,13.6290777
130,404499.9995,3284660,40 m,mean.max.canopy.ht.aop,13.26686032
131,403499.9995,3284700,40 m,mean.max.canopy.ht.aop,13.9845365
132,403539.9995,3284700,40 m,mean.max.canopy.ht.aop,11.13823611
133,403579.9995,3284700,40 m,mean.max.canopy.ht.aop,10.18073698
