"","easting","northing","plot_area","metric","value"
"1",580549.9995,5074549.9995,"100 m","mean.max.canopy.ht.aop",27.0758852147384
"2",580691.420856237,5074549.9995,"100 m","mean.max.canopy.ht.aop",25.6774205451889
"3",580832.842212475,5074549.9995,"100 m","mean.max.canopy.ht.aop",20.365866131403
"4",580974.263568712,5074549.9995,"100 m","mean.max.canopy.ht.aop",24.5691190015468
"5",581115.684924949,5074549.9995,"100 m","mean.max.canopy.ht.aop",27.1754240639545
"6",581257.106281186,5074549.9995,"100 m","mean.max.canopy.ht.aop",35.2455617508529
"7",581398.527637424,5074549.9995,"100 m","mean.max.canopy.ht.aop",26.3900483010109
"8",580549.9995,5074691.42085624,"100 m","mean.max.canopy.ht.aop",25.4161908911841
"9",580691.420856237,5074691.42085624,"100 m","mean.max.canopy.ht.aop",27.5962273252542
"10",580832.842212475,5074691.42085624,"100 m","mean.max.canopy.ht.aop",29.728652750835
"11",580974.263568712,5074691.42085624,"100 m","mean.max.canopy.ht.aop",27.1890482811891
"12",581115.684924949,5074691.42085624,"100 m","mean.max.canopy.ht.aop",26.8412829698059
"13",581257.106281186,5074691.42085624,"100 m","mean.max.canopy.ht.aop",28.6131901232291
"14",581398.527637424,5074691.42085624,"100 m","mean.max.canopy.ht.aop",30.9848395290827
"15",580549.9995,5074832.84221247,"100 m","mean.max.canopy.ht.aop",27.592426388549
"16",580691.420856237,5074832.84221247,"100 m","mean.max.canopy.ht.aop",17.8811406559042
"17",580832.842212475,5074832.84221247,"100 m","mean.max.canopy.ht.aop",24.0185833820035
"18",580974.263568712,5074832.84221247,"100 m","mean.max.canopy.ht.aop",24.506441638299
"19",581115.684924949,5074832.84221247,"100 m","mean.max.canopy.ht.aop",26.5528163773011
"20",581257.106281186,5074832.84221247,"100 m","mean.max.canopy.ht.aop",28.507932464064
"21",581398.527637424,5074832.84221247,"100 m","mean.max.canopy.ht.aop",30.2547520779768
"22",580549.9995,5074974.26356871,"100 m","mean.max.canopy.ht.aop",26.149129204595
"23",580691.420856237,5074974.26356871,"100 m","mean.max.canopy.ht.aop",24.9986026239596
"24",580832.842212475,5074974.26356871,"100 m","mean.max.canopy.ht.aop",17.3527929798759
