,easting,northing,plot_area,metric,value
83,304331.9591,5122766.274,40 m,mean.max.canopy.ht.aop,36.28115072
84,304388.5276,5122766.274,40 m,mean.max.canopy.ht.aop,56.77354172
85,304445.0962,5122766.274,40 m,mean.max.canopy.ht.aop,77.93141573
86,303539.9995,5122822.842,40 m,mean.max.canopy.ht.aop,93.33538145
87,303596.568,5122822.842,40 m,mean.max.canopy.ht.aop,73.20669487
88,303653.1366,5122822.842,40 m,mean.max.canopy.ht.aop,77.21170552
89,303709.7051,5122822.842,40 m,mean.max.canopy.ht.aop,70.32949429
90,303766.2737,5122822.842,40 m,mean.max.canopy.ht.aop,38.03661759
91,303822.8422,5122822.842,40 m,mean.max.canopy.ht.aop,65.00833213
92,303879.4108,5122822.842,40 m,mean.max.canopy.ht.aop,69.18954061
93,303935.9793,5122822.842,40 m,mean.max.canopy.ht.aop,62.17396734
94,303992.5478,5122822.842,40 m,mean.max.canopy.ht.aop,86.46388136
95,304049.1164,5122822.842,40 m,mean.max.canopy.ht.aop,80.69460328
96,304105.6849,5122822.842,40 m,mean.max.canopy.ht.aop,60.00769651
97,304162.2535,5122822.842,40 m,mean.max.canopy.ht.aop,59.20192922
98,304218.822,5122822.842,40 m,mean.max.canopy.ht.aop,80.05410034
99,304275.3906,5122822.842,40 m,mean.max.canopy.ht.aop,76.12492536
100,304331.9591,5122822.842,40 m,mean.max.canopy.ht.aop,71.89869549
101,304388.5276,5122822.842,40 m,mean.max.canopy.ht.aop,57.79240086
102,304445.0962,5122822.842,40 m,mean.max.canopy.ht.aop,90.68599847
103,303539.9995,5122879.411,40 m,mean.max.canopy.ht.aop,99.56841478
104,303596.568,5122879.411,40 m,mean.max.canopy.ht.aop,65.59900241
105,303653.1366,5122879.411,40 m,mean.max.canopy.ht.aop,73.2918104
106,303709.7051,5122879.411,40 m,mean.max.canopy.ht.aop,61.31955121
107,303766.2737,5122879.411,40 m,mean.max.canopy.ht.aop,43.67550735
108,303822.8422,5122879.411,40 m,mean.max.canopy.ht.aop,64.86975809
109,303879.4108,5122879.411,40 m,mean.max.canopy.ht.aop,54.69338015
110,303935.9793,5122879.411,40 m,mean.max.canopy.ht.aop,46.59763796
111,303992.5478,5122879.411,40 m,mean.max.canopy.ht.aop,56.91337458
112,304049.1164,5122879.411,40 m,mean.max.canopy.ht.aop,78.27062814
113,304105.6849,5122879.411,40 m,mean.max.canopy.ht.aop,64.96884134
114,304162.2535,5122879.411,40 m,mean.max.canopy.ht.aop,45.92760853
115,304218.822,5122879.411,40 m,mean.max.canopy.ht.aop,54.13331782
116,304275.3906,5122879.411,40 m,mean.max.canopy.ht.aop,57.44530979
117,304331.9591,5122879.411,40 m,mean.max.canopy.ht.aop,44.08359311
118,304388.5276,5122879.411,40 m,mean.max.canopy.ht.aop,69.29830871
119,304445.0962,5122879.411,40 m,mean.max.canopy.ht.aop,82.53404228
120,303539.9995,5122935.979,40 m,mean.max.canopy.ht.aop,75.33476448
121,303596.568,5122935.979,40 m,mean.max.canopy.ht.aop,73.63258212
122,303653.1366,5122935.979,40 m,mean.max.canopy.ht.aop,69.331308
123,303709.7051,5122935.979,40 m,mean.max.canopy.ht.aop,45.2137977
